pages/index,首页
pages/map/index,学区地图
pages/parentCricle/index,(家长圈---已删除)
pages/house/index,找房
pages/me/index,我的
subPackages/activity/activityMainVenue,活动主会场
subPackages/activity/activityLuckyBag,福袋活动
subPackages/activity/activityEnd,活动结束
subPackages/activity/activityResult,福袋抽奖结果
subPackages/activity/activityAward,我的奖励
subPackages/activity/redEnvelopeLuckyDraw,拼手气红包
subPackages/home/qualificationInquiry,资格查询
subPackages/home/hotSchool,热门学校(40强)
subPackages/home/hotInfo,文章列表页
subPackages/home/hotAnswer,问答列表页
subPackages/home/hotVillage,小区列表页
subPackages/home/trainingOrganization,机构列表页
subPackages/home/answerDeatil,(问答详情---单词错误)
subPackages/home/answerDetail,问答详情
subPackages/home/freePublishAnswer,问答提问页
subPackages/home/lotteryResult,摇号结果页
subPackages/home/accompanyingChildren,官方政策
subPackages/home/accompanyingChildrenDetail,官方政策详情
subPackages/home/primaryToMiddle,小升初划片信息
subPackages/home/dailyBroadcast,萱爸聊升学
subPackages/home/topicList,话题列表页
subPackages/home/topicDetail,话题详情页
subPackages/home/authorDetail,(文章作者详情页/专家主页)
subPackages/index/search,搜索页
subPackages/index/locationSearch,学区位置搜索
subPackages/index/schoolList,学校列表页
subPackages/webView/webView,文章详情页
subPackages/webView/activityWebRule,活动规则h5
subPackages/me/userCourses,我的课程
subPackages/me/salesmanSettled,我要入驻
subPackages/me/accountException,账号异常
subPackages/me/pages/collect,我的收藏
subPackages/me/pages/authorize,用户授权
subPackages/me/pages/bindPhone,绑定手机号
subPackages/me/pages/aboutme,(关于我们---已删除)
subPackages/me/pages/copyrightNotice,版权声明
subPackages/me/pages/privacyPolicy,用户隐私保护
subPackages/me/pages/subscribe,我订阅的日程
subPackages/me/pages/myAnswer,我的问答
subPackages/me/pages/edcPhone,教育局电话
subPackages/me/pages/taskCenter,任务中心
subPackages/me/pages/comment,我的评论
subPackages/me/pages/creditsDetail,我的积分
subPackages/me/pages/creditsRule,(积分规则---已删除)
subPackages/me/pages/teacherDetail,老师详情页
subPackages/me/pages/salesmanDetail,经纪人详情页
subPackages/me/pages/teacherSettled,老师入驻
subPackages/me/pages/trainingOrganizationSettled,培训机构入驻
subPackages/me/pages/addCourse,添加课程
subPackages/me/pages/noticeForEntry,入驻须知
subPackages/me/pages/settledStatus,(老师/经纪人)入驻状态
subPackages/schoolDetail/answerDetail,学校问答详情页
subPackages/schoolDetail/primarySchool,小学详情页
subPackages/schoolDetail/kdenSchool,幼儿园详情页
subPackages/schoolDetail/middleSchool,初中详情页
subPackages/schoolDetail/highSchool,高中详情页
subPackages/schoolDetail/schoolBigMap,小学地图页
subPackages/schoolDetail/kdenSchoolBigMap,(幼儿园/小学/初中的周边2公里小区)地图页
subPackages/schoolDetail/middleSchoolBigMap,(中学地图页---已删除)
subPackages/schoolDetail/allPlanHouse,学校对应划片小区页
subPackages/schoolDetail/allCorrespondingMiddle,(小学对口初中页---已删除)
subPackages/houseDetail/house,小区详情页
subPackages/houseDetail/houseMap,小区地图页
subPackages/houseDetail/houseCorrespondingSchool,小区对口学校
subPackages/houseDetail/salesmanList,小区入驻经纪人列表
subPackages/houseDetail/answerDetail,小区问答列表
subPackages/comment/comment,评论内容
subPackages/comment/commentDetail,评论详情页
subPackages/comment/commentList,评论列表页
subPackages/comment/commentRules,评论规则页
subPackages/schedule/schedule,我的日程
subPackages/schedule/eventDetail,事件详情
subPackages/schedule/scheduleDetail,日程详情
subPackages/feedback/feedback,反馈
subPackages/tool/photos,(学校/小区/机构)相册
subPackages/tool/poster,(老师/经纪人)海报
subPackages/tool/playVideo,视频播放页面
subPackages/tool/verticalScreenVideo,家长圈视频
subPackages/tool/richEditor,富文本编辑器
subPackages/compare/index,对比
subPackages/compare/detail,对比详情页
subPackages/compare/map,对比地图
subPackages/trainingOrganization/indexTO,机构详情
subPackages/trainingOrganization/teacherList,老师列表
subPackages/trainingOrganization/courseDetail,线下课程详情
subPackages/trainingOrganization/courseOnlineDetail,在线教育
subPackages/trainingOrganization/assistCourse,助力者页面
subPackages/trainingOrganization/shareCourse,分享者页面
subPackages/tool/addGroup,(加群页面---已删除)
pages/im/index,微聊列表
subPackages/activity/activityPersonalInfo,活动补充个人信息
subPackages/activity/activityAwardList,活动奖品列表页
subPackages/activity/activityMap,活动地图页
subPackages/home/salemanList,置业顾问列表页
subPackages/webView/externalWebview,(积分落户/户口迁移)页面
subPackages/webView/insideWebview,(随迁子女/小升初划片/每日播报/服务号/公众号)文章
subPackages/me/callRecords,电话列表
subPackages/im/chat,微聊详情页
subPackages/uiDooring/uiDooring,ui配置页面
subPackages/uiDooring/uiList,(学校/小区)合集列表页
subPackages/schoolDetail/schoolbBaseInfo,学校基本信息
subPackages/schoolDetail/counterpartSchool,(小学/初中)对口学校
subPackages/schoolDetail/schoolScore,学校平分
subPackages/schoolDetail/lotteryAnnouncement,幼儿园录取比例
subPackages/schoolDetail/schoolRecruits,高中录取线
subPackages/home/answerExpert,专家列表
subPackages/compare/answerSelect,问答数据选择页面
subPackages/webView/insideArticle,内部文章
subPackages/im/acceptMessage,(收到的点赞/系统消息/收到的评论)
subPackages/home/lotteryAnnouncements,摇中率
subPackages/home/publishAnswerSuccess,提问成功页面
